chrom,start,end,tf,score,strand,region
chr2,68062767,68062776,ETV6,541,+,chr2:68062734-68063334
chr2,68062767,68062776,ETV7,541,+,chr2:68062734-68063334
chr2,68062824,68062837,BCL6,549,-,chr2:68062734-68063334
chr2,68062825,68062834,STAT1,541,-,chr2:68062734-68063334
chr2,68062825,68062834,STAT5A,511,-,chr2:68062734-68063334
chr2,68062881,68062892,ZNF831,566,-,chr2:68062734-68063334
chr2,68062881,68062894,NFKB1,511,-,chr2:68062734-68063334
chr2,68062881,68062894,NFKB1,544,+,chr2:68062734-68063334
chr2,68062883,68062894,ZNF831,510,+,chr2:68062734-68063334
chr2,68062925,68062940,IRF9,519,+,chr2:68062734-68063334
chr2,68062927,68062938,IRF1,539,+,chr2:68062734-68063334
chr2,68062927,68062940,STAT1::STAT2,580,-,chr2:68062734-68063334
chr2,68062928,68062938,STAT2,506,+,chr2:68062734-68063334
chr2,68063069,68063086,KLF13,514,+,chr2:68062734-68063334
chr2,68063070,68063080,KLF5,502,+,chr2:68062734-68063334
chr2,68063070,68063081,KLF16,662,+,chr2:68062734-68063334
chr2,68063070,68063081,SP3,632,+,chr2:68062734-68063334
chr2,68063070,68063081,KLF9,527,+,chr2:68062734-68063334
chr2,68063070,68063081,KLF8,550,-,chr2:68062734-68063334
chr2,68063071,68063080,KLF10,511,-,chr2:68062734-68063334
chr2,68063071,68063080,KLF6,511,+,chr2:68062734-68063334
chr2,68063071,68063081,KLF11,571,+,chr2:68062734-68063334
chr2,68063071,68063081,SP9,602,+,chr2:68062734-68063334
chr2,68063071,68063082,SP8,632,+,chr2:68062734-68063334
chr2,68063087,68063096,ZNF652,541,-,chr2:68062734-68063334
chr2,68063174,68063188,HNF4A,533,-,chr2:68062734-68063334
chr2,68063272,68063282,STAT4,541,-,chr2:68062734-68063334
chr2,68063273,68063282,STAT3,541,-,chr2:68062734-68063334
chr2,68063273,68063282,STAT5A::STAT5B,511,+,chr2:68062734-68063334
chr2,68063273,68063282,STAT5B,541,+,chr2:68062734-68063334
chr2,68063313,68063322,HOXB13,511,-,chr2:68062734-68063334
chr7,151632632,151632642,ZNF148,571,-,chr7:151632560-151633160
chr7,151632632,151632643,PATZ1,577,+,chr7:151632560-151633160
chr7,151632636,151632645,ZNF648,511,-,chr7:151632560-151633160
chr7,151632636,151632656,PRDM9,535,+,chr7:151632560-151633160
chr7,151632638,151632654,ZNF347,530,-,chr7:151632560-151633160
chr7,151632652,151632667,ZFP14,509,+,chr7:151632560-151633160
chr7,151632665,151632676,TFAP2C,503,-,chr7:151632560-151633160
chr7,151632665,151632676,TFAP2A,524,+,chr7:151632560-151633160
chr7,151632665,151632676,TFAP2B,507,-,chr7:151632560-151633160
chr7,151632665,151632678,ZNF423,507,-,chr7:151632560-151633160
chr7,151632666,151632677,TFAP2C,503,+,chr7:151632560-151633160
chr7,151632666,151632677,TFAP2A,524,-,chr7:151632560-151633160
chr7,151632666,151632677,TFAP2B,507,+,chr7:151632560-151633160
chr7,151632694,151632708,ZNF606,512,+,chr7:151632560-151633160
chr7,151632704,151632720,ZNF347,503,+,chr7:151632560-151633160
chr7,151632800,151632818,ZFP28,521,+,chr7:151632560-151633160
chr7,151632802,151632816,ZNF471,509,+,chr7:151632560-151633160
chr7,151632807,151632817,ZNF362,524,-,chr7:151632560-151633160
chr7,151632808,151632818,ZNF362,602,-,chr7:151632560-151633160
chr7,151632809,151632819,ZNF362,602,-,chr7:151632560-151633160
chr7,151632896,151632911,ZSCAN4,519,+,chr7:151632560-151633160
chr7,151633098,151633107,VENTX,541,+,chr7:151632560-151633160
chr12,54018378,54018387,KLF14,511,+,chr12:54018318-54018918
chr12,54018378,54018387,KLF12,511,+,chr12:54018318-54018918
chr12,54018438,54018454,ERF::NHLH1,566,-,chr12:54018318-54018918
chr12,54018651,54018663,ZNF213,537,-,chr12:54018318-54018918
chr12,54018659,54018668,ZNF524,511,-,chr12:54018318-54018918
chr12,54018660,54018677,ZNF454,503,+,chr12:54018318-54018918
chr12,54018695,54018705,STAT2,532,-,chr12:54018318-54018918
chr12,54018714,54018725,EGR2,500,+,chr12:54018318-54018918
chr12,54018889,54018899,WT1,602,-,chr12:54018318-54018918
chr12,54018891,54018901,ZNF281,602,+,chr12:54018318-54018918
chr12,54018891,54018901,ZNF148,602,-,chr12:54018318-54018918
chr12,54018891,54018902,KLF8,520,+,chr12:54018318-54018918
chr18,26215578,26215590,NRL,594,-,chr18:26215463-26216063
chr18,26215579,26215590,MAFB,662,-,chr18:26215463-26216063
chr18,26215579,26215590,MAFF,662,+,chr18:26215463-26216063
chr18,26215648,26215662,ZNF93,581,-,chr18:26215463-26216063
chr18,26215687,26215696,NR2E1,511,-,chr18:26215463-26216063
chr18,26215712,26215723,MAFF,504,-,chr18:26215463-26216063
chr18,26215813,26215823,GABPA,541,-,chr18:26215463-26216063
chr18,26215813,26215823,ERG,511,+,chr18:26215463-26216063
chr18,26215814,26215823,ELF1,541,+,chr18:26215463-26216063
chr18,26215814,26215823,EHF,541,-,chr18:26215463-26216063
chr18,26215814,26215823,ELF3,541,-,chr18:26215463-26216063
chr18,26215814,26215823,IKZF3,541,+,chr18:26215463-26216063
chr18,26215814,26215823,ZBTB11,511,-,chr18:26215463-26216063
chr18,26215856,26215867,IRF1,614,-,chr18:26215463-26216063
chr18,26215872,26215884,TCF7L1,607,-,chr18:26215463-26216063
chr2,108620685,108620698,ZNF24,568,-,chr2:108620617-108621217
chr2,108620733,108620748,POU4F2,515,+,chr2:108620617-108621217
chr2,108620745,108620759,KLF17,576,-,chr2:108620617-108621217
chr2,108620811,108620826,ZFP14,526,+,chr2:108620617-108621217
chr2,108621114,108621134,PRDM9,550,-,chr2:108620617-108621217
chr2,108621122,108621132,ZNF148,524,+,chr2:108620617-108621217
chr2,108621191,108621203,ERF::FOXO1,582,+,chr2:108620617-108621217
chr2,108621191,108621203,ETV5::FOXI1,562,+,chr2:108620617-108621217
chr2,108621191,108621204,FOXO1::ELF1,583,+,chr2:108620617-108621217
chr2,108621191,108621204,FOXO1::ELK1,609,+,chr2:108620617-108621217
chr2,108621191,108621204,FOXO1::ELK3,556,+,chr2:108620617-108621217
chr2,108621191,108621204,FOXO1::FLI1,524,+,chr2:108620617-108621217
chr2,108621192,108621203,FLI1::FOXI1,571,+,chr2:108620617-108621217
chr2,108621193,108621203,ERF::FOXI1,602,+,chr2:108620617-108621217
chr2,108621193,108621204,ETV2::FOXI1,632,+,chr2:108620617-108621217
chr2,108621193,108621204,FOXJ2::ELF1,577,+,chr2:108620617-108621217
chr2,108621207,108621217,ZNF780B,524,-,chr2:108620617-108621217
chr13,49792815,49792828,PPARG::RXRA,524,-,chr13:49792758-49793358
chr13,49792914,49792924,ZBED4,532,-,chr13:49792758-49793358
chr13,49792932,49792946,THAP11,645,+,chr13:49792758-49793358
chr13,49792932,49792955,ZNF143,928,-,chr13:49792758-49793358
chr13,49792966,49792982,GSC::TBX21,505,-,chr13:49792758-49793358
chr13,49793058,49793069,KLF8,566,-,chr13:49792758-49793358
chr13,49793059,49793068,SP1,511,-,chr13:49792758-49793358
chr13,49793059,49793068,SP4,511,-,chr13:49792758-49793358
chr13,49793082,49793091,KLF14,511,+,chr13:49792758-49793358
chr13,49793082,49793091,KLF12,511,+,chr13:49792758-49793358
chr13,49793103,49793118,ZNF275,608,+,chr13:49792758-49793358
chr13,49793283,49793295,MEF2D,520,+,chr13:49792758-49793358
chr13,49793315,49793326,DNTTIP1,526,+,chr13:49792758-49793358
chr22,39115038,39115048,ZNF211,571,+,chr22:39114985-39115585
chr22,39115103,39115118,ZNF775,517,-,chr22:39114985-39115585
chr22,39115135,39115152,POU2F1::SOX2,505,-,chr22:39114985-39115585
chr22,39115136,39115151,POU5F1::SOX2,522,+,chr22:39114985-39115585
chr22,39115226,39115239,SPI1,609,-,chr22:39114985-39115585
chr22,39115226,39115239,SPIB,648,+,chr22:39114985-39115585
chr22,39115268,39115279,PRDM15,502,+,chr22:39114985-39115585
chr22,39115310,39115320,WT1,532,+,chr22:39114985-39115585
chr22,39115346,39115355,ZBTB6,511,-,chr22:39114985-39115585
chr22,39115374,39115390,ZNF460,535,-,chr22:39114985-39115585
chr22,39115375,39115389,ZNF135,546,-,chr22:39114985-39115585
chr22,39115387,39115396,ZBTB8A,511,+,chr22:39114985-39115585
chr22,39115454,39115466,MEF2D,513,+,chr22:39114985-39115585
chr22,39115455,39115465,MEF2A,571,+,chr22:39114985-39115585
chr22,39115455,39115466,MEF2C,614,+,chr22:39114985-39115585
chr22,39115463,39115473,ZNF362,506,+,chr22:39114985-39115585
chr22,39115465,39115475,ZNF362,602,+,chr22:39114985-39115585
chr22,39115466,39115476,ZNF362,602,+,chr22:39114985-39115585
chr22,39115467,39115477,ZNF362,602,+,chr22:39114985-39115585
chr22,39115468,39115478,ZNF362,524,+,chr22:39114985-39115585
chr22,39115516,39115532,ZNF460,563,-,chr22:39114985-39115585
chrX,48469241,48469258,ZNF454,502,-,chrX:48469199-48469799
chrX,48469255,48469273,ZBTB41,581,-,chrX:48469199-48469799
chrX,48469256,48469274,ZBTB41,569,-,chrX:48469199-48469799
chrX,48469260,48469272,ZBTB24,539,+,chrX:48469199-48469799
chrX,48469312,48469326,KLF17,532,+,chrX:48469199-48469799
chrX,48469421,48469439,ZFP28,501,+,chrX:48469199-48469799
chrX,48469422,48469432,ZNF362,541,-,chrX:48469199-48469799
chrX,48469423,48469433,ZNF362,602,-,chrX:48469199-48469799
chrX,48469424,48469434,ZNF362,602,-,chrX:48469199-48469799
chrX,48469425,48469435,ZNF362,602,-,chrX:48469199-48469799
chrX,48469433,48469443,STAT6,602,+,chrX:48469199-48469799
chrX,48469482,48469491,KLF14,511,+,chrX:48469199-48469799
chrX,48469482,48469491,KLF12,511,+,chrX:48469199-48469799
chrX,48469591,48469601,ZNF500,517,-,chrX:48469199-48469799
chrX,48469608,48469622,ZNF683,559,-,chrX:48469199-48469799
chrX,48469612,48469622,PKNOX1,541,+,chrX:48469199-48469799
chrX,48469612,48469623,PBX3,577,+,chrX:48469199-48469799
chr5,111512969,111512978,NR2E1,541,+,chr5:111512912-111513512
chr5,111513099,111513116,PPARA::RXRA,533,-,chr5:111512912-111513512
chr5,111513117,111513136,RREB1,560,-,chr5:111512912-111513512
chr5,111513121,111513140,RREB1,542,-,chr5:111512912-111513512
chr5,111513123,111513134,KLF9,506,-,chr5:111512912-111513512
chr5,111513129,111513139,KLF11,532,-,chr5:111512912-111513512
chr5,111513129,111513140,KLF9,614,-,chr5:111512912-111513512
chr5,111513131,111513150,RREB1,644,-,chr5:111512912-111513512
chr5,111513133,111513152,RREB1,589,-,chr5:111512912-111513512
chr5,111513135,111513146,KLF9,544,-,chr5:111512912-111513512
chr5,111513139,111513150,KLF9,506,-,chr5:111512912-111513512
chr5,111513141,111513153,ZNF865,503,+,chr5:111512912-111513512
chr5,111513256,111513265,NFATC4,511,-,chr5:111512912-111513512
chr5,111513487,111513501,FOXD3,591,+,chr5:111512912-111513512
chr7,14714114,14714125,ZNF215,550,+,chr7:14714105-14714705
chr7,14714145,14714156,PHOX2A,519,+,chr7:14714105-14714705
chr7,14714226,14714242,ZNF460,502,-,chr7:14714105-14714705
chr7,14714230,14714245,ZNF672,744,-,chr7:14714105-14714705
chr7,14714280,14714296,RARB,503,+,chr7:14714105-14714705
chr7,14714319,14714328,ZNF652,511,-,chr7:14714105-14714705
chr7,14714319,14714329,ZBTB47,532,-,chr7:14714105-14714705
chr7,14714495,14714511,ZNF470,519,-,chr7:14714105-14714705
chr7,14714502,14714519,IRF3,501,+,chr7:14714105-14714705
chr7,14714502,14714520,ZFP28,502,-,chr7:14714105-14714705
chr7,14714506,14714522,ZNF470,526,-,chr7:14714105-14714705
chr7,14714507,14714518,IRF1,544,+,chr7:14714105-14714705
chr7,14714508,14714518,STAT2,602,+,chr7:14714105-14714705
chr7,14714513,14714523,ZNF362,506,+,chr7:14714105-14714705
chr7,14714515,14714525,ZNF362,532,+,chr7:14714105-14714705
chr7,14714576,14714586,NKX3-2,506,+,chr7:14714105-14714705
chr7,14714640,14714653,HNF1A,563,+,chr7:14714105-14714705
chr7,14714640,14714653,HNF1B,584,-,chr7:14714105-14714705
chr6,4778057,4778073,ZNF470,597,-,chr6:4777975-4778575
chr6,4778098,4778108,STAT4,517,+,chr6:4777975-4778575
chr6,4778220,4778231,IRF1,511,-,chr6:4777975-4778575
chr6,4778285,4778294,HOXC13,511,-,chr6:4777975-4778575
chr6,4778298,4778307,NFIL3,511,-,chr6:4777975-4778575
chr6,4778298,4778308,DBP,511,+,chr6:4777975-4778575
chr6,4778298,4778308,TEF,517,+,chr6:4777975-4778575
chr6,4778384,4778398,ZNF493,510,-,chr6:4777975-4778575
chr6,4778433,4778451,ZFP28,553,+,chr6:4777975-4778575
chr6,4778445,4778456,SIX2,504,-,chr6:4777975-4778575
chr6,4778446,4778455,SIX1,511,-,chr6:4777975-4778575
chr6,4778449,4778460,ZIM3,562,-,chr6:4777975-4778575
chr6,4778449,4778462,STAT1::STAT2,521,+,chr6:4777975-4778575
chr6,4778452,4778461,ZNF189,511,+,chr6:4777975-4778575
chr6,4778472,4778485,HNF1A,599,+,chr6:4777975-4778575
chr6,4778472,4778485,HNF1B,578,-,chr6:4777975-4778575
chr6,4778559,4778568,TBX18,511,+,chr6:4777975-4778575
chr19,57500042,57500052,ZNF257,532,-,chr19:57499869-57500469
chr19,57500242,57500262,PRDM9,562,+,chr19:57499869-57500469
chr19,57500251,57500265,ZNF530,645,+,chr19:57499869-57500469
chr19,57500308,57500331,ZNF143,597,+,chr19:57499869-57500469
chr19,57500375,57500384,NHLH1,511,+,chr19:57499869-57500469
chr19,57500376,57500385,NHLH1,541,-,chr19:57499869-57500469
chr19,57500398,57500407,ZFTA,541,+,chr19:57499869-57500469
chr19,57500422,57500438,ZNF470,516,-,chr19:57499869-57500469
chr6,63211336,63211352,ZNF878,513,-,chr6:63211239-63211839
chr6,63211345,63211355,ZNF362,602,+,chr6:63211239-63211839
chr6,63211346,63211356,ZNF362,602,+,chr6:63211239-63211839
chr6,63211347,63211357,ZNF362,602,+,chr6:63211239-63211839
chr6,63211348,63211358,ZNF362,602,+,chr6:63211239-63211839
chr6,63211349,63211359,ZNF362,602,+,chr6:63211239-63211839
chr6,63211350,63211360,ZNF362,602,+,chr6:63211239-63211839
chr6,63211379,63211388,FOS::JUN,511,-,chr6:63211239-63211839
chr6,63211379,63211388,FOSL1,511,+,chr6:63211239-63211839
chr6,63211379,63211388,JUNB,511,+,chr6:63211239-63211839
chr6,63211379,63211388,JUND,511,+,chr6:63211239-63211839
chr6,63211379,63211388,FOSL1::JUN,511,+,chr6:63211239-63211839
chr6,63211379,63211388,FOSB::JUNB,511,+,chr6:63211239-63211839
chr6,63211379,63211388,FOSL1::JUNB,511,+,chr6:63211239-63211839
chr6,63211379,63211388,FOS::JUND,511,-,chr6:63211239-63211839
chr6,63211526,63211538,ZNF142,632,+,chr6:63211239-63211839
chr6,63211545,63211557,CGGBP1,553,+,chr6:63211239-63211839
chr6,63211580,63211591,EBF1,511,+,chr6:63211239-63211839
chr6,63211580,63211591,EBF4,532,+,chr6:63211239-63211839
chr6,63211730,63211739,ZFP809,511,-,chr6:63211239-63211839
chr4,78776255,78776269,ZNF93,506,+,chr4:78776247-78776847
chr4,78776257,78776269,CGGBP1,529,-,chr4:78776247-78776847
chr4,78776260,78776272,CGGBP1,521,-,chr4:78776247-78776847
chr4,78776286,78776297,KLF16,558,+,chr4:78776247-78776847
chr4,78776287,78776298,SP8,503,+,chr4:78776247-78776847
chr4,78776292,78776306,PLAG1,544,-,chr4:78776247-78776847
chr4,78776298,78776308,ZBED4,524,+,chr4:78776247-78776847
chr4,78776301,78776311,KLF5,602,+,chr4:78776247-78776847
chr4,78776301,78776312,PATZ1,584,-,chr4:78776247-78776847
chr4,78776301,78776312,KLF8,539,-,chr4:78776247-78776847
chr4,78776302,78776311,SP1,541,-,chr4:78776247-78776847
chr4,78776302,78776311,SP2,541,-,chr4:78776247-78776847
chr4,78776302,78776311,SP4,541,-,chr4:78776247-78776847
chr4,78776302,78776311,KLF14,541,-,chr4:78776247-78776847
chr4,78776302,78776311,KLF12,541,-,chr4:78776247-78776847
chr4,78776302,78776311,KLF10,541,-,chr4:78776247-78776847
chr4,78776309,78776329,PRDM9,644,-,chr4:78776247-78776847
chr4,78776312,78776323,KLF8,522,-,chr4:78776247-78776847
chr4,78776315,78776324,ZBTB8A,541,-,chr4:78776247-78776847
chr4,78776317,78776328,ZNF746,547,+,chr4:78776247-78776847
chr4,78776346,78776360,ZNF93,608,+,chr4:78776247-78776847
chr4,78776364,78776374,ZBED4,571,-,chr4:78776247-78776847
chr4,78776372,78776383,PATZ1,503,+,chr4:78776247-78776847
chr4,78776381,78776393,ZNF213,562,+,chr4:78776247-78776847
chr4,78776441,78776455,ZNF530,547,+,chr4:78776247-78776847
chr4,78776572,78776581,ZBTB8A,541,+,chr4:78776247-78776847
chr4,78776573,78776587,ZNF93,546,+,chr4:78776247-78776847
chr4,78776576,78776590,ZNF93,677,+,chr4:78776247-78776847
chr4,78776578,78776590,CGGBP1,529,-,chr4:78776247-78776847
chr4,78776579,78776593,ZNF93,738,+,chr4:78776247-78776847
chr4,78776581,78776593,CGGBP1,662,-,chr4:78776247-78776847
chr4,78776584,78776596,CGGBP1,502,-,chr4:78776247-78776847
chr4,78776589,78776599,ZBED4,506,-,chr4:78776247-78776847
chr4,78776591,78776601,ZNF610,602,-,chr4:78776247-78776847
chr4,78776613,78776623,ZBED4,511,-,chr4:78776247-78776847
chr4,78776754,78776765,ZNF746,527,-,chr4:78776247-78776847
chr4,78776792,78776806,ZNF135,502,+,chr4:78776247-78776847
chr11,112226312,112226326,ZNF574,511,+,chr11:112226312-112226912
chr11,112226417,112226437,REST,623,+,chr11:112226312-112226912
chr11,112226541,112226550,ZNF708,511,-,chr11:112226312-112226912
chr11,112226563,112226580,ZNF454,513,-,chr11:112226312-112226912
chr11,112226584,112226595,PATZ1,584,+,chr11:112226312-112226912
chr11,112226584,112226595,KLF8,539,+,chr11:112226312-112226912
chr11,112226585,112226594,SP1,541,+,chr11:112226312-112226912
chr11,112226585,112226594,SP2,541,+,chr11:112226312-112226912
chr11,112226585,112226594,SP4,541,+,chr11:112226312-112226912
chr11,112226585,112226594,KLF14,541,+,chr11:112226312-112226912
chr11,112226585,112226594,KLF12,541,+,chr11:112226312-112226912
chr11,112226585,112226594,KLF10,541,+,chr11:112226312-112226912
chr11,112226585,112226595,KLF5,602,-,chr11:112226312-112226912
chr11,112226588,112226598,ZBED4,511,-,chr11:112226312-112226912
chr11,112226618,112226628,ZNF148,502,-,chr11:112226312-112226912
chr11,112226618,112226629,PATZ1,507,+,chr11:112226312-112226912
chr11,112226641,112226656,ZNF669,520,+,chr11:112226312-112226912
chr11,112226662,112226676,GLIS3,507,-,chr11:112226312-112226912
chr11,112226662,112226677,GLIS1,539,-,chr11:112226312-112226912
chr11,112226722,112226734,ZSCAN25,523,+,chr11:112226312-112226912
chr11,112226728,112226738,WT1,524,-,chr11:112226312-112226912
chr11,112226741,112226753,MYBL1,506,-,chr11:112226312-112226912
chr11,112226846,112226856,ZNF500,517,-,chr11:112226312-112226912
chr7,32494908,32494918,ZNF362,506,+,chr7:32494833-32495433
chr7,32494908,32494921,STAT1::STAT2,514,-,chr7:32494833-32495433
chr7,32494930,32494945,ZNF136,514,-,chr7:32494833-32495433
chr7,32495034,32495054,PRDM9,558,+,chr7:32494833-32495433
chr7,32495035,32495044,ZFTA,541,+,chr7:32494833-32495433
chr7,32495112,32495128,ZNF470,734,-,chr7:32494833-32495433
chr7,32495120,32495135,ZNF775,510,-,chr7:32494833-32495433
chr7,32495127,32495142,ZNF775,517,-,chr7:32494833-32495433
chr7,32495135,32495147,ZNF75D,559,+,chr7:32494833-32495433
chr7,32495165,32495179,ZNF471,591,-,chr7:32494833-32495433
chr7,32495251,32495261,ZNF331,571,-,chr7:32494833-32495433
chr7,32495260,32495270,ZNF449,524,+,chr7:32494833-32495433
chr7,32495261,32495277,ZNF460,519,+,chr7:32494833-32495433
chr7,32495285,32495295,KLF5,571,+,chr7:32494833-32495433
chr7,32495285,32495296,PATZ1,519,-,chr7:32494833-32495433
chr7,32495293,32495303,ZNF610,602,+,chr7:32494833-32495433
chr7,32495323,32495332,ZBTB8A,541,-,chr7:32494833-32495433
chr7,32495325,32495336,ZNF746,632,+,chr7:32494833-32495433
chr7,32495326,32495343,ZNF701,514,-,chr7:32494833-32495433
chr7,32495328,32495348,PRDM9,513,-,chr7:32494833-32495433
chr7,32495336,32495347,KLF8,510,-,chr7:32494833-32495433
chr7,32495337,32495347,ZNF281,517,-,chr7:32494833-32495433
chr7,32495338,32495355,ZNF701,579,-,chr7:32494833-32495433
chr7,32495354,32495363,SP1,541,-,chr7:32494833-32495433
chr7,32495354,32495363,SP2,541,-,chr7:32494833-32495433
chr7,32495354,32495363,SP4,541,-,chr7:32494833-32495433
chr7,32495354,32495363,KLF14,541,-,chr7:32494833-32495433
chr7,32495354,32495363,KLF12,541,-,chr7:32494833-32495433
chr7,32495354,32495363,KLF10,541,-,chr7:32494833-32495433
chr7,32495412,32495428,ZNF460,507,+,chr7:32494833-32495433
chr7,32495413,32495427,ZNF135,544,+,chr7:32494833-32495433
chr22,17875566,17875577,PRDM5,558,-,chr22:17875510-17876110
chr22,17875606,17875620,NR1D1,538,-,chr22:17875510-17876110
chr22,17875606,17875621,NR1D2,547,-,chr22:17875510-17876110
